City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,jincheng,35.5022,112.8328,300.53,67,3,1.06,CN,1722470900
315,panaba,21.2833,-88.2667,301.03,79,13,6.95,MX,1722470901
316,wainwright,52.839,-110.8572,302.76,27,54,5.45,CA,1722470901
317,island harbour,50.724,-1.2758,294.25,85,30,0.45,GB,1722470901
318,port hedland,-20.3167,118.5667,294.18,43,95,1.03,AU,1722470901
319,luderitz,-26.6481,15.1594,287.35,47,0,6.22,NA,1722470902
320,aitape,-3.1374,142.3475,302.34,67,96,0.83,PG,1722470902
321,palmas,-10.2128,-48.3603,303.7,20,55,1.98,BR,1722470879
322,northam,51.0333,-4.2167,292.81,89,99,2.44,GB,1722470903
323,vikhorevka,56.1201,101.1636,291.92,98,100,2.56,RU,1722470903
324,port-vila,-17.7338,168.3219,298.3,65,97,5.83,VU,1722470903
325,ta`u,-14.2336,-169.5144,298.83,64,96,9.98,AS,1722470903
326,sanctuary point,-35.1114,150.629,286.9,67,100,6.28,AU,1722470904
327,mount pleasant,32.7941,-79.8626,303.23,85,0,4.63,US,1722470903
328,igarka,67.4667,86.5833,291.13,65,100,4.48,RU,1722470904
329,santa cruz,-17.8,-63.1667,296.85,64,0,5.14,BO,1722470905
330,cill airne,52.05,-9.5167,286.66,95,81,1.35,IE,1722470905
331,el calafate,-50.3408,-72.2768,274.21,99,100,1.64,AR,1722470905
332,linxia chengguanzhen,35.6003,103.2064,292.51,49,21,1.58,CN,1722470906
333,bahir dar,11.5936,37.3908,289.04,96,100,1.89,ET,1722470906
334,kabompo,-13.5927,24.2008,287.11,24,0,2.98,ZM,1722470906
335,chipinge,-20.1883,32.6236,284.04,92,8,2.23,ZW,1722470906
336,nova sintra,14.8667,-24.7167,298.39,79,64,6.71,CV,1722470906
337,fort mcmurray,56.7268,-111.381,295.36,49,77,8.42,CA,1722470907
338,greenland,43.0362,-70.8328,299.64,82,75,3.09,US,1722470907
339,ugoofaaru,5.6667,73.0,300.92,78,99,4.22,MV,1722470907
340,bel ombre,-4.6167,55.4167,298.67,87,34,7.99,SC,1722470907
341,mena,51.5217,32.2157,286.33,86,57,2.68,UA,1722470908
342,beysehir,37.6773,31.7246,292.69,48,0,1.85,TR,1722470908
343,san patricio,28.017,-97.5169,304.56,59,0,7.75,US,1722470908
344,high rock,26.6208,-78.2833,303.16,72,96,3.62,BS,1722470908
345,port isabel,26.0734,-97.2086,304.27,73,20,7.72,US,1722470909
346,nemuro,43.3236,145.575,289.05,95,100,3.24,JP,1722470909
347,havre,49.5833,0.3333,294.02,88,0,1.54,FR,1722470909
